status,priority,book,subject,page,numberCandidate,markerType,ocrLine,ocrPreview,extractedIds,extractedQuestion
추출됨,낮음,전력계통공학,계통공학,154,4-2,grid_alias,Wi 4-2,Wi 4-2 그림 4-32 같은 3모선 계동에서의 전력 방정식을 각각 (1) 직각 좌표 변환,ex-grid-0154-01,"그림 4-32 같은 3모선 계동에서의 전력 방정식을 각각 (1) 직각 좌표 변환 (2) SHE 변환 을 사용해서 유도하여라. 운 Y=4 ji0 45 Pa=17 A e=21249 Py=2 E,=10f Qy=1 전압과 전력에 관한 수치는 모두 PU 값이다. 그림 4-3 모딜 계동"
추출됨,낮음,전력계통공학,계통공학,168,4-3,grid_alias,WA 4-3,"WA 4-3 그림 4-5와 같은 전력 계통의 선로 정수 및 운전 조건이 각각 표 4-6 및 표 4-7처렴 주어져 있다. 이때의 전력 조류를 가우스-자이델 반복 계산법으로 계산하여라. 단, 수렴 판정은 허용",ex-grid-0168-01,그림 4-5와 같은 전력 계통의 선로 정수 및 운전 조건이 각각 표 4-6 및 표 4-7처렴 주어져 있다. 이때의 전력 조류를 가우스-자이델 반복 계산법으로 계산하여라.
추출됨,낮음,전력계통공학,계통공학,176,4-4,grid_alias,wil 4-4 a,"wil 4-4 a 다음의 비선형 방정식을 뉴턴 - 랩슨번으로 풀어라. 기 t_)= 23 +22,-3=0",ex-grid-0176-01,"a 다음의 비선형 방정식을 뉴턴 - 랩슨번으로 풀어라. 기 t_)= 23 +22,-3=0 Fala, Bq) = 2429 34_7+2=0 단, 초기값은 2 =3.0, 2 = 2.0으로 가정한다. OM 먼저 이 방정식의 자코비안은 으으 oh, Oh 1 Ox, 002 이다. 여기에 초기값 2 =3.0, af = 2.08 대입해서 식 (4.56/의 수정 방정식을 Bel 100 600 2.00] [4"
추출됨,낮음,전력계통공학,계통공학,191,4-5,grid_alias,WA 4-5,WA 4-5 그림 4-8과 같은 3모선 계통에서 모선 1을 슬랙 모선으로 취하고 표 4-12에 주어진 운전 A Hol 기초한 조류 계산을 뉴턴-랩슨법으로 실행하여라.,ex-grid-0191-01,"그림 4-8과 같은 3모선 계통에서 모선 1을 슬랙 모선으로 취하고 표 4-12에 주어진 운전 A Hol 기초한 조류 계산을 뉴턴-랩슨법으로 실행하여라. 9 34010 PrtiQe 슬렉 모선 E,20 Av=-j12 r9= 16 Py Es 그림 4-8 모델 계통 (수치는 PURE) 표 4-12 운전 조건 (수치는 PUB) 발전단 부히단 전입값 슬랙 1.0 o P-Qaa = 0 = P-BAA 0"
추출됨,낮음,전력계통공학,계통공학,202,4-6,grid_alias,WA 4-6,WA 4-6 앞의 예제 4-5에서 사용한 3모선 모델 계통에서의 조류 계산을 고속 06004060법으로 풀어 a.,ex-grid-0202-01,앞의 예제 4-5에서 사용한 3모선 모델 계통에서의 조류 계산을 고속 06004060법으로 풀어 a. OM WA 주어진 계통의 Yus= 725 710 415 = 210 -202 215 j2 927. 인데 고속 060002100법에서 사용되는 B 행렬은 % Bos [2 회 B= = By By 12 -271 이다. 먼저 식 (4.149)로부터 Any A (2) ( 22 과 AE ea 00000 
추출됨,낮음,전력계통공학,계통공학,214,200,grid_alias,4 200) as or,4 200) as or ner a 가 ) q14) (200) 6 (99,ex-grid-0214-01,as or ner a 가 ) q14) (200) 6 (99 306 (809)
추출됨,낮음,전력계통공학,계통공학,214,6,grid_alias,46,46 as) 300,ex-grid-0214-02,as) 300 (300) 그림 4-17 직류법 조류 계산 Zam)
추출됨,낮음,전력계통공학,계통공학,232,5-1,grid_alias,WA 5-1,WA 5-1 증기 etl 및 수치에서 사용되고 있는 조속기에 대해서 설명하여라. ORO) 오늘날 중기 터빈 및 수차에서는 전기식 조속기가 사용되고 있으나 여기서는 설명의 편의상 그,ex-grid-0232-01,증기 etl 및 수치에서 사용되고 있는 조속기에 대해서 설명하여라.
추출됨,낮음,전력계통공학,계통공학,234,5-2,grid_alias,WA 5-2,WA 5-2 계통 용량 15.000[ / ]의 계통에서 SOO[MW19] 화력기 4대와 80[ /]의 수력기 3대가 조속 기 프리 운전을 하고 있다. 속도 조정률이 화력기는 5[%]. 수력기는 4[%]라고 하면 이 계통에,ex-grid-0234-01,"계통 용량 15.000[ / ]의 계통에서 SOO[MW19] 화력기 4대와 80[ /]의 수력기 3대가 조속 기 프리 운전을 하고 있다. 속도 조정률이 화력기는 5[%]. 수력기는 4[%]라고 하면 이 계통에 서의 전력 주파수 특성 정수 Kee 얼마로 되겠는가 AP, P, ~ 스가 90004 0 또는 ㅠ 대의 발전기가 운전되고 있을 경우에는"
추출됨,낮음,전력계통공학,계통공학,235,5-3,grid_alias,WI 5-3,"WI 5-3 정격 출력 50,000[kw]2] 수차 발전기가 6ofHz]2 전력 계통에 접속되어 전부하, 정격 주파 수로 운전 중에 있다. 여기서 이 계통에 접속되어 있던 일부의 부하가 갑자기 차단되어 주파",ex-grid-0235-01,"정격 출력 50,000[kw]2] 수차 발전기가 6ofHz]2 전력 계통에 접속되어 전부하, 정격 주파 수로 운전 중에 있다. 여기서 이 계통에 접속되어 있던 일부의 부하가 갑자기 차단되어 주파 수가 60.3172 로 상승하였다고 하면 발전기 출력 [kWIS 어떻게 되겠는가 Et 수차 발전기 의 속도 조정들은 4%]라 하고 조속기 특성은 직선이라고 한다. Ow) 속도 조정돌의 일반식은 NM "
추출됨,낮음,전력계통공학,계통공학,236,5-4,grid_alias,WI 54,WI 54 정격 출력 70004] 및 1000[Mw12] 2대의 발전기가 무부하로 병렬 운전하고 있다. 발전기 의 속도 조정를이 각각 2.5[%] 및 3.0[%로 설정되어 있다면 부하 1300[Mw]e 때의 각 발전,ex-grid-0236-01,"정격 출력 70004] 및 1000[Mw12] 2대의 발전기가 무부하로 병렬 운전하고 있다. 발전기 의 속도 조정를이 각각 2.5[%] 및 3.0[%로 설정되어 있다면 부하 1300[Mw]e 때의 각 발전 기의 출력은 얼마이겠는가 CMW PHS, 기준 주파수(2)로 병렬 운전하고 있는 상태에서는 그림 5-14처럼 조속기 특성이 설 정되어 있다. 61%) = (F,-F)/Fy x 100[%) "
추출됨,낮음,전력계통공학,계통공학,237,5-5,grid_alias,wl 5-5,"wl 5-5 602] 계통에서 정격 출력 350[ ]의 발전기가 300[ 로 조속기 프리 운전을 하고 있을 때 계통 주파수가 O.15[Hz] 저하하였다면, 이때의 발전기 출력은 얼마/ 로 되겠는가 =,",ex-grid-0237-01,"602] 계통에서 정격 출력 350[ ]의 발전기가 300[ 로 조속기 프리 운전을 하고 있을 때 계통 주파수가 O.15[Hz] 저하하였다면, 이때의 발전기 출력은 얼마/ 로 되겠는가 =, 이때의 계통 용량을 3.000[ 4 라고 하였을 경우 발전기의 계통 특성 정수(%-)는 얼마로 되겠는가 단, 터빈의 속도 조정률은 dele 조정되고 그 특성은 직선이라고 한다. 풀어 속도 조정를 /는 정의"
추출됨,낮음,전력계통공학,계통공학,238,5-6,word,이제 5-6,"이제 5-6 1O0[Mw] 2] 발전기 5대와 200[ / ]의 발전기 5대로 602], 1,200[MW]9 부하에 전력을 공 급하고 있다. 자금 100[MW] 발전기의 속도 ABE 447 3[%]이고 200[Mw] 발전기의 속도",ex-grid-0238-01,"1O0[Mw] 2] 발전기 5대와 200[ / ]의 발전기 5대로 602], 1,200[MW]9 부하에 전력을 공 급하고 있다. 자금 100[MW] 발전기의 속도 ABE 447 3[%]이고 200[Mw] 발전기의 속도 ABB 0 가 4[%], 부하의 전력ㆍ주파수 특성 정수 % 이 0.21%400/0.+2 라고 할 경우 다음 값을 구하여라."
추출됨,낮음,전력계통공학,계통공학,247,5-8,grid_alias,WI 5-8,"WI 5-8 표 5-2와 같은 계통이 6012], 1000[ /441의 부하에 전력을 공급하고 있다. 정격 출력 운전 중인 1000[Mw]o) 발전기 1대가 탈락해서 계통 주파수가 0.142[Hz] 저하하였다. 이 경우의 계",ex-grid-0247-01,"표 5-2와 같은 계통이 6012], 1000[ /441의 부하에 전력을 공급하고 있다. 정격 출력 운전 중인 1000[Mw]o) 발전기 1대가 탈락해서 계통 주파수가 0.142[Hz] 저하하였다. 이 경우의 계 통 및 부하의 전력ㆍ주파수 특성 정수를 구하여라."
추출됨,낮음,전력계통공학,계통공학,248,5-9,word,에제 5-9,에제 5-9 전력 계통의 총 수요가 1800[ // 이고 계통 주파수는 60[닌로 안정된 운전을 하고 있다. 이때 각 발전소의 출력은 표 5-3과 같다고 한다.,ex-grid-0248-01,"전력 계통의 총 수요가 1800[ // 이고 계통 주파수는 60[닌로 안정된 운전을 하고 있다. 이때 각 발전소의 출력은 표 5-3과 같다고 한다. E53 Som See 현재 출력 Gx 조정를 운전 4005 FG Gov, Free 헤레 Bacon [em __ 여기서 부하 측의 계통 정수 KS 4[%4 /2 라 하고 다음 물음에 답하여라. () A 발전기 25000] 탈락 시 계통 주파수는 얼"
추출됨,낮음,전력계통공학,계통공학,256,5-10,grid_alias,WA 5-10,"WA 5-10 그림 5-272 같이 2개의 전력 계통이 연락선으로 연결되고 있다. 지금 계통에서 350[MW] 의 발전기가 탈락하였을 경우 계통 주파수, 연락선 전력은 어떻게 변화하는가 단, 계통의",ex-grid-0256-01,"그림 5-272 같이 2개의 전력 계통이 연락선으로 연결되고 있다. 지금 계통에서 350[MW] 의 발전기가 탈락하였을 경우 계통 주파수, 연락선 전력은 어떻게 변화하는가 단, 계통의 계통 Se 40[MW/0.1Hz], B ABS 80[ / //0가니라 하고 탈락 전의 연락선 전력은 0이 었다고 한다. Ka Kg ( ) 연락선 350[MW) aw 5-27 OB A 게동에서의 공급력이 350["
추출됨,낮음,전력계통공학,계통공학,257,5-11,grid_alias,Fi 5-11,"Fi 5-11 A 8 양 계통이 연계 SHS 하고 있다. A 계통의 양수 발전소가 2560 로 양수 SH 중에 탈락하였을 때 발생하는 계통 주파수 변화와 연계선 전력량을 구하여라. 단, , B et 계통의",ex-grid-0257-01,A 8 양 계통이 연계 SHS 하고 있다. A 계통의 양수 발전소가 2560 로 양수 SH 중에 탈락하였을 때 발생하는 계통 주파수 변화와 연계선 전력량을 구하여라.
추출됨,낮음,전력계통공학,계통공학,258,5-12,grid_alias,Wi 5-12,"Wi 5-12 AS 정수가 각각 125[MwI/0,1[Hz]2] 2개의 계통 A, 6에 있어서 각각 100[Mw], 50[Mw]2 부하 증가가 생겼다.",ex-grid-0258-01,"AS 정수가 각각 125[MwI/0,1[Hz]2] 2개의 계통 A, 6에 있어서 각각 100[Mw], 50[Mw]2 부하 증가가 생겼다. (1) A 계통이 FFC, 6 계통이 TECH 적용하고 있을 경우 (2) A 계통이 FFC, B 계통이 FICE 적용하고 있을 경우 의 각 계통의 ABS 발전소의 출력 변화량을 구하여라."
추출됨,낮음,전력계통공학,계통공학,276,6-2,grid_alias,WA 6-2,"WA 6-2 SO[MW] 가스 터빈 발전기의 출력 레벨에 따른 연료 Avis heat rate)Ol 현장에서의 운전 실 적으로부터 아래와 같이 측정되었으며, 이때의 연료 단가가 MBtust 5,000 원이었다고 할 때",ex-grid-0276-01,"SO[MW] 가스 터빈 발전기의 출력 레벨에 따른 연료 Avis heat rate)Ol 현장에서의 운전 실 적으로부터 아래와 같이 측정되었으며, 이때의 연료 단가가 MBtust 5,000 원이었다고 할 때 정격 BHO) 25[%] 문전 시 14.26 [MBtu/MWh] 정격 출력의 40[%] 운전 시 1294 [Metu/Mwh] 정격 BA 100[%] 운전 시 11.70 [MBtu/MWh] "
추출됨,낮음,전력계통공학,계통공학,281,6-3,word,이제 6-3,"이제 6-3 연료비가 아래 식으로 주어지는 2대의 발전기로 구성되는 전력 계통이 있다. 부하 이 주 ㅣ 어졌을 때의 계통 중분비 AS 구하는 계산식을 유도하고 2,이 200[mwie 때의 경제적인",ex-grid-0281-01,"연료비가 아래 식으로 주어지는 2대의 발전기로 구성되는 전력 계통이 있다. 부하 이 주 ㅣ 어졌을 때의 계통 중분비 AS 구하는 계산식을 유도하고 2,이 200[mwie 때의 경제적인 각 발전기의 출력 배분 및 총 연료비를 계산하여라."
추출됨,낮음,전력계통공학,계통공학,282,6-4,grid_alias,FH 6-4,"FH 6-4 다음과 같은 연료비 특성을 가진 2대의 발전기로 구성된 시스템이 있다. F, = 0.0126. + 426. +8,000[10 2/MWh]",ex-grid-0282-01,"다음과 같은 연료비 특성을 가진 2대의 발전기로 구성된 시스템이 있다. F, = 0.0126. + 426. +8,000[10 2/MWh] Fy =0.03Pg + 2P _ + 10,000[10 -21/Mwn] 부하 이 각각 5004]. 100[MW], 250[MW]= 주어질 때 (0) Po. Pent 균등하게 Peo 분담할 경우 2) Pa. Pe7t 경제 부하 배분 출력으로 PS 분담할 경우 "
추출됨,낮음,전력계통공학,계통공학,284,6-5,grid_alias,Wi 6-5,"Wi 6-5 예제 6.4에서 Po, 의 운전 범위가 50 을 Pg, 150",ex-grid-0284-01,"예제 6.4에서 Po, 의 운전 범위가 50 을 Pg, 150 로 주어질 경우의 최적해를 구하여라."
추출됨,낮음,전력계통공학,계통공학,286,6-6,grid_alias,Pi 6-6,Pi 6-6 그림 6-11과 같은 27] 계통에서 계통 부하 Pp oll 전력을 공급하고 있다. 지금 각 발전기의 연 료비 특성이,ex-grid-0286-01,"그림 6-11과 같은 27] 계통에서 계통 부하 Pp oll 전력을 공급하고 있다. 지금 각 발전기의 연 료비 특성이 기 =8,000+ 800Pg, +5 Po, 7[2/h] (1) Fy = 16,000 + 600 Pg + 6 Pol 2/h] 2 로 주어지고 부하 이 그림 6-11 (4)처럼 주어질 때 (1) 각 시간대에서의 경제적인 출력 배분을 구하라. (2) 1일 중 발전기 2대를 계통에 "
추출됨,낮음,전력계통공학,계통공학,292,6-8,grid_alias,WI 6-8,WI 6-8 2화력 발전소가 경제 SRS 하고 있다. 발전소 19] 증분 연료비가 41.0[10 원/ // 7] 발전소 2의 SS 연료비가 38.0[10 원/ ]]일 때 어느 쪽의 발전소의 페널티 계수가 큰가를 보여,ex-grid-0292-01,"2화력 발전소가 경제 SRS 하고 있다. 발전소 19] 증분 연료비가 41.0[10 원/ // 7] 발전소 2의 SS 연료비가 38.0[10 원/ ]]일 때 어느 쪽의 발전소의 페널티 계수가 큰가를 보여 라. 또, 수전단 증분비가 45.5[10 원/ / ]일 때의 각 페널티 계수를 구하여라."
추출됨,낮음,전력계통공학,계통공학,297,6-9,grid_alias,Fi 6-9,Fi 6-9 그림 6-52 같은 계통에서의 BATS 구하고 이를 사용한 손실 방정식으로부터 구한 송전 손실과 ]7 의 값을 비교하여라. ct,ex-grid-0297-01,그림 6-52 같은 계통에서의 BATS 구하고 이를 사용한 손실 방정식으로부터 구한 송전 손실과 ]7 의 값을 비교하여라.
추출됨,낮음,전력계통공학,계통공학,298,6-10,grid_alias,4 6-10,"4 6-10 27 계통에서 2 정수와 화력 발전기 증분 연료비 특성이 다음과 같이 주어져 있다. 수전단 증분비가 10.0[10 원/ / 7]일 때의 발전기 출력, 송전 손실 및 부하를 구하여라.",ex-grid-0298-01,"27 계통에서 2 정수와 화력 발전기 증분 연료비 특성이 다음과 같이 주어져 있다. 수전단 증분비가 10.0[10 원/ / 7]일 때의 발전기 출력, 송전 손실 및 부하를 구하여라."
추출됨,낮음,전력계통공학,계통공학,299,6-11,grid_alias,Wi 6-11,"Wi 6-11 그림 6162 같은 2기 모델 계통에서 증분 연료비 특성 및 송전 손실에 관한 관계식이 다음 과 같이 주어질 경우, 각 발전기의 경제 부하 배분 시의 출력 및 송전 선로 7 에서 발생하는",ex-grid-0299-01,"그림 6162 같은 2기 모델 계통에서 증분 연료비 특성 및 송전 손실에 관한 관계식이 다음 과 같이 주어질 경우, 각 발전기의 경제 부하 배분 시의 출력 및 송전 선로 7 에서 발생하는 송전 손실을 구하여라."
추출됨,낮음,전력계통공학,계통공학,301,6-12,grid_alias,A 672 aris =,A 672 aris = 그림 6-17과 같이 화력기 27/2 구성된 3모선 계통이 있다. 지금 이 계롱에서의 BIS 및 증분 연료비 특성이 다음과 같이 주어질 경우,ex-grid-0301-01,"그림 6-17과 같이 화력기 27/2 구성된 3모선 계통이 있다. 지금 이 계롱에서의 BIS 및 증분 연료비 특성이 다음과 같이 주어질 경우 By =0.04, Byy = By, =0.02, Bop = 0.03 oho o+p, 266 tPa ak, P Wg 204 Pen () 송전 AMS 무시할 경우의 경제적 부하 배분 (2) 송전 ANS 고려할 경우의 경제적 부하 바분 을 계산하여라"
추출됨,낮음,전력계통공학,계통공학,306,6-14,word,이제 6-14,"이제 6-14 그림 6-18과 같은 27 계통에서의 손실 계수(2, , )는 다음과 같다고 한다. By, =0.001[1/MW]",ex-grid-0306-01,"그림 6-18과 같은 27 계통에서의 손실 계수(2, , )는 다음과 같다고 한다. By, =0.001[1/MW] By = 0.0005[1/MW] Boo = 0.0024[1/MW] 또, 이때 2 발전기의 증분 연료비 계수는, Ba Path + F=00l 2.=20 ak, 222 FoPat he 20001 fy=15 라고 할 때 이 계통의 경제 부하 배분을 결정하여라. 프 쓰 eS Fe 그림 "
추출됨,낮음,전력계통공학,계통공학,312,6-15,grid_alias,Fi 675,"Fi 675 그림 6-229 같이 수력 171, 화력 1712 된 모델 계통이 있다. 지금 각 발전기의 연료비",ex-grid-0312-01,"그림 6-229 같이 수력 171, 화력 1712 된 모델 계통이 있다. 지금 각 발전기의 연료비 및 사용 수량 는 다음과 같이 주어져 있다고 한다. 시=0+62.+오개 % = 0 + PyPy + Pe 한편 송전 손실 Pe = ByP, +2ByP,P,+ 280 이라고 할 때 이 모델 계통의 수ㆍ화력 협조 방정식을 구하여라."
추출됨,낮음,전력계통공학,계통공학,316,6-18,grid_alias,Wi 6-18,Wi 6-18 BE 발전소 각 1개소로 구성된 계통이 있다. 이 계통의 부하 곡선이 그림 6-24처럼 주 어지고 각 운용 조건이 다음과 같이 주어질 때 각 발전소의 최적 부하 운전 곡선을 결정하여,ex-grid-0316-01,"BE 발전소 각 1개소로 구성된 계통이 있다. 이 계통의 부하 곡선이 그림 6-24처럼 주 어지고 각 운용 조건이 다음과 같이 주어질 때 각 발전소의 최적 부하 운전 곡선을 결정하여 a 단, 송전 손실은 무시하는 것으로 한다. 수력 발전소의 출력 -수량 특성 Q(Px)=3+ Pxt 6X10 ) Py [m /s] 24시간에 대한 사용 수량 w= f olPy)dt =1,000 m - h/s]"
추출됨,낮음,전력계통공학,계통공학,344,7-1,grid_alias,wa7,wa7 3상 SMA 배전선의 말단에 1S0[KWIE 역률 80[%의 평형 3상 부하가 있다. 지금 부하점에 부 하와 병렬로 전력 콘덴서를 접속해서 선로 손실을 최소로 하고자 한다. 이애 필요한 콘덴서의,ex-grid-0344-01,3상 SMA 배전선의 말단에 1S0[KWIE 역률 80[%의 평형 3상 부하가 있다. 지금 부하점에 부 하와 병렬로 전력 콘덴서를 접속해서 선로 손실을 최소로 하고자 한다. 이애 필요한 콘덴서의 용량 / 을 구하여라.
추출됨,낮음,전력계통공학,계통공학,345,7-2,grid_alias,Wi 7-2,"Wi 7-2 187[ /]의 무한대 모선으로부터 r= 2[%], c= 10[%]9] 임피던스를 거쳐서 FE 08, 유효 전력 P=1.0[PU]9 부하에 전력을 공급하고 있을 경우",ex-grid-0345-01,"187[ /]의 무한대 모선으로부터 r= 2[%], c= 10[%]9] 임피던스를 거쳐서 FE 08, 유효 전력 P=1.0[PU]9 부하에 전력을 공급하고 있을 경우 (1) 부하의 무효 전력 Q, 부하의 공급 전압 V, 2 04762, aV,/aQel zt 때 on 3) = a7 faQ7 값 을 구하여라."
추출됨,낮음,전력계통공학,계통공학,346,7-3,word,에제 7-3,"에제 7-3 그림 7-6에서 B= 발전기 기전력, 는 부하 단자 전입, R+ XE 발전기의 내부 리액턴 스까지 포함한 송전 계통의 임피던스이다. 일반적으로 송전 계통에서는 AR XT 성립한다.",ex-grid-0346-01,"그림 7-6에서 B= 발전기 기전력, 는 부하 단자 전입, R+ XE 발전기의 내부 리액턴 스까지 포함한 송전 계통의 임피던스이다. 일반적으로 송전 계통에서는 AR XT 성립한다. 이러한 경우 송전선상의 유효 전력은 와 의 위상치에, 무효 전력 Ok 송전 계통의 전압 강하에 밀접하게 관계한다는 것을 보여라. RX 7 f 그 fy sy 5 올리 mat 90 . 869 이 80 [후 yt i a"
추출됨,낮음,전력계통공학,계통공학,352,7-4,grid_alias,PH 7-4,"PH 7-4 전력 계통에서의 무효 전력의 발생원과 소비원을 열거하여라. 또, 이들에게 과부족이 생겼을 경우의 문제점과 대책을 설명하여라.",ex-grid-0352-01,전력 계통에서의 무효 전력의 발생원과 소비원을 열거하여라.
추출됨,낮음,전력계통공학,계통공학,353,7-5,word,여제 7-5,"여제 7-5 그림 7-110) V,=1.0[PU], Vv, =0.95 [PU]",ex-grid-0353-01,"그림 7-110) V,=1.0[PU], Vv, =0.95 [PU] R=05 [이]. x= 2.5 [Q] 이라고 할 때, 부하가 1.0[PU], 역률이 80(%](지상)일 Aol 소요될 조상 용량과 그 설비를 보여라. 단. 661 /1. 100[MVAIE 기준으로 한다. % 동 것 더 refs 007 3 PQ A Jee 그림 7-1 Om 주어진 데이터를 Pues 나타내면 25 = 667/100"
추출됨,낮음,전력계통공학,계통공학,361,7-6,grid_alias,oI 7-6,"oI 7-6 1B4E7/OAKV], 174, 정격 용량 100[MvA], 임피던스 1[%]의 LAC 1차 측이 1541 41로 일정 하게 유지되고 있을 때 다음과 같은 경우에 대해서 LAC 1탭 변화에 의한 전압, 무효 전력 변",ex-grid-0361-01,"1B4E7/OAKV], 174, 정격 용량 100[MvA], 임피던스 1[%]의 LAC 1차 측이 1541 41로 일정 하게 유지되고 있을 때 다음과 같은 경우에 대해서 LAC 1탭 변화에 의한 전압, 무효 전력 변 화분을 구하여라."
